""	"ID"	"strain"	"timepoint"	"biorep"
"1"	"1"	"wt"	"0"	"a"
"2"	"2"	"ddr21"	"0"	"a"
"3"	"3"	"wt"	"0"	"b"
"4"	"4"	"ddr21"	"0"	"b"
"5"	"5"	"wt"	"0"	"c"
"6"	"6"	"ddr21"	"0"	"c"
"7"	"7"	"wt"	"2"	"a"
"8"	"8"	"ddr21"	"2"	"a"
"9"	"9"	"wt"	"2"	"b"
"10"	"10"	"ddr21"	"2"	"b"
"11"	"11"	"wt"	"2"	"c"
"12"	"12"	"ddr21"	"2"	"c"
"13"	"13"	"wt"	"4"	"a"
"14"	"14"	"ddr21"	"4"	"a"
"15"	"15"	"wt"	"4"	"b"
"16"	"16"	"ddr21"	"4"	"b"
"17"	"17"	"wt"	"4"	"c"
"18"	"18"	"ddr21"	"4"	"c"
"19"	"19"	"wt"	"8"	"a"
"20"	"20"	"ddr21"	"8"	"a"
"21"	"21"	"wt"	"8"	"b"
"22"	"22"	"ddr21"	"8"	"b"
"23"	"23"	"wt"	"8"	"c"
"24"	"24"	"ddr21"	"8"	"c"
"25"	"25"	"wt"	"10"	"a"
"26"	"26"	"ddr21"	"10"	"a"
"27"	"27"	"wt"	"10"	"b"
"28"	"28"	"ddr21"	"10"	"b"
"29"	"29"	"wt"	"10"	"c"
"30"	"30"	"ddr21"	"10"	"c"
